FID,OBJECTID,GEOID10,ALAND10,AWATER10,POP100,HU100,Type,Res,BG_ID_10,CT_ID_10,BOSNA_R_ID,NSA_NAME,BRA_PD_ID,BRA_PD,ZIPCODE,City_Counc,WARD,ISD_Nbhd,Police_Dis,Fire_Distr,PWD,Shape_Leng,Shape_Area
34,35,250250201014,45954,0,1262,822,R,1,250250201014,25025020101,6,Beacon Hill,5,Back Bay/Beacon Hill,2114,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.014568449,5.02156E-06
35,36,250250201013,71202,0,1268,821,R,1,250250201013,25025020101,6,Beacon Hill,5,Back Bay/Beacon Hill,2108,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.01443305,7.78045E-06
36,37,250250201011,45229,0,767,480,R,1,250250201011,25025020101,6,Beacon Hill,5,Back Bay/Beacon Hill,2108,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.01101604,4.94232E-06
37,38,250250202001,29811,0,1266,897,R,1,250250202001,25025020200,6,Beacon Hill,5,Back Bay/Beacon Hill,2114,1,3,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.007207,3.25765E-06
38,39,250250202003,56260,0,1124,734,R,1,250250202003,25025020200,6,Beacon Hill,5,Back Bay/Beacon Hill,2114,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.010687357,6.14776E-06
39,40,250250202002,30822,0,1259,847,R,1,250250202002,25025020200,6,Beacon Hill,5,Back Bay/Beacon Hill,2114,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.007277452,3.36818E-06
40,41,250250203021,76782,0,1181,721,R,1,250250203021,25025020302,6,Beacon Hill,5,Back Bay/Beacon Hill,2114,8,5,Beacon Hill,1,3,1-1B:  Beacon Hill/West End/North End,0.012034598,8.39026E-06
41,42,250250301001,42828,0,1053,790,D,0,250250301001,25025030100,52,North End/Waterfront,4,Central,2113,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.009798106,4.6807E-06
42,43,250250301002,33518,0,901,587,D,0,250250301002,25025030100,52,North End/Waterfront,4,Central,2113,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.008745358,3.66308E-06
43,44,250250510003,132595,0,1088,467,R,1,250250510003,25025051000,29,Harbor View/Orient Heights,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.021726056,1.44952E-05
44,45,250250509012,87280,0,1964,717,R,1,250250509012,25025050901,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.020324126,9.54082E-06
45,46,250250509011,202147,0,1283,420,R,1,250250509011,25025050901,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.027818089,2.20975E-05
46,47,250250510001,334855,0,2039,855,R,1,250250510001,25025051000,29,Harbor View/Orient Heights,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.036420746,3.66051E-05
47,48,250259813002,6334597,1692518,389,245,I,0,250259813002,25025981300,30,Jeffries Point/Airport,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.174821478,0.00087723
48,49,250250601013,80162,0,981,496,R,1,250250601013,25025060101,60,City Point,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.015869985,8.75637E-06
49,50,250250601012,46927,0,633,350,R,1,250250601012,25025060101,60,City Point,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.014077209,5.12597E-06
50,51,250250602001,68649,0,821,419,R,1,250250602001,25025060200,60,City Point,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.014938136,7.4988E-06
51,52,250250602002,101737,0,1095,580,R,1,250250602002,25025060200,60,City Point,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.014685807,1.11125E-05
52,53,250250603011,91910,0,1285,741,R,1,250250603011,25025060301,63,Telegraph Hill,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.019685368,1.00396E-05
53,54,250250604005,87061,0,960,336,R,1,250250604005,25025060400,63,Telegraph Hill,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.011684705,9.50982E-06
54,55,250250604001,82503,0,1021,542,R,1,250250604001,25025060400,63,Telegraph Hill,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.012085937,9.0121E-06
55,56,250250604003,80520,0,842,466,R,1,250250604003,25025060400,63,Telegraph Hill,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.018423231,8.7951E-06
56,57,250250604002,62546,0,988,530,R,1,250250604002,25025060400,63,Telegraph Hill,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.011580039,6.8319E-06
57,58,250250604004,86648,0,1093,669,R,1,250250604004,25025060400,63,Telegraph Hill,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.016101269,9.46449E-06
58,59,250259813001,822657,322574,0,0,I,0,250259813001,25025981300,0, ,0, ,0,0,0, ,0,1, ,0.052330056,0.000125169
59,60,250250303002,158387,0,1262,709,D,0,250250303002,25025030300,26,Downtown/Central/West End,4,Central,2109,1,3,Financial District/Downtown,1,3,1-1B:  Beacon Hill/West End/North End,0.022122765,1.73083E-05
60,61,250250303001,202932,234496,1757,1283,D,0,250250303001,25025030300,52,North End/Waterfront,4,Central,2110,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.028542447,4.78015E-05
61,62,250250303003,298495,0,1305,503,D,0,250250303003,25025030300,26,Downtown/Central/West End,4,Central,2108,1,3,Government Center/Faneuil Hall,1,3,1-1B:  Beacon Hill/West End/North End,0.02469765,3.26187E-05
62,63,250250304001,64057,0,1519,994,D,0,250250304001,25025030400,52,North End/Waterfront,4,Central,2113,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.015534812,7.00036E-06
63,64,250250305001,139912,292691,704,442,D,0,250250305001,25025030500,52,North End/Waterfront,4,Central,2109,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.037325167,4.72794E-05
64,65,250250305002,30480,0,1025,687,D,0,250250305002,25025030500,52,North End/Waterfront,4,Central,2109,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.007609047,3.33083E-06
65,66,250250401002,120906,0,1210,684,R,1,250250401002,25025040100,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.017923315,1.3215E-05
66,67,250250401001,138435,64873,958,555,I,0,250250401001,25025040100,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.027086004,2.22212E-05
67,68,250250402002,88358,0,831,423,R,1,250250402002,25025040200,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.016119228,9.65819E-06
68,69,250250402001,55211,0,775,304,R,1,250250402001,25025040200,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.010008569,6.03512E-06
69,70,250250403003,49456,0,657,366,R,1,250250403003,25025040300,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.012049054,5.40603E-06
70,71,250250403004,40880,0,617,320,R,1,250250403004,25025040300,10,Medford St/The Neck,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.009242692,4.46868E-06
71,72,250251005004,245048,0,1328,482,R,1,250251005004,25025100500,18,Codman Sq/East Codman Hill,12,South Dorchester,2124,4,17,Dorchester,3,8,3-07:  South Dorchester,0.028246227,2.67477E-05
72,73,250251005003,136245,0,1259,529,R,1,250251005003,25025100500,24,St Marks,12,South Dorchester,2124,4,17,Dorchester,11,8,3-07:  South Dorchester,0.017831956,1.48723E-05
73,74,250250605015,74540,0,656,333,R,1,250250605015,25025060501,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.012853965,8.14251E-06
74,75,250250605013,85086,0,717,431,R,1,250250605013,25025060501,60,City Point,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.019393107,9.29472E-06
75,76,250250605012,63781,0,868,508,R,1,250250605012,25025060501,60,City Point,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.011625767,6.96735E-06
76,77,250250606001,1260969,632511,2357,1530,I,0,250250606001,25025060600,62,D Street/West Broadway,3,South Boston,2210,2,6,South Boston,6,6,3-05:  South Boston,0.096345848,0.000206878
77,78,250250607001,89011,0,741,253,R,1,250250607001,25025060700,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.0133757,9.72353E-06
78,79,250250607002,39217,0,1152,383,R,1,250250607002,25025060700,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.011513751,4.28397E-06
79,80,250250608001,64919,0,655,333,R,1,250250608001,25025060800,62,D Street/West Broadway,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.012138009,7.09146E-06
80,81,250250612002,461861,0,627,383,I,0,250250612002,25025061200,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.029932422,5.04494E-05
81,82,250250612003,96334,0,911,470,R,1,250250612003,25025061200,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.016629723,1.05224E-05
82,83,250250608003,65245,0,886,470,R,1,250250608003,25025060800,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.011413751,7.12732E-06
83,84,250250608002,63287,0,757,396,R,1,250250608002,25025060800,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.012307733,6.91316E-06
84,85,250250610001,66213,0,1033,544,R,1,250250610001,25025061000,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.0114942,7.23254E-06
85,86,250250610002,51428,0,1164,471,R,1,250250610002,25025061000,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.012654542,5.61737E-06
86,87,250250610003,55396,0,901,393,R,1,250250610003,25025061000,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.015510792,6.05079E-06
87,88,250250611012,115604,0,1615,766,P,0,250250611012,25025061101,61,Columbus Park/Andrew Sq,3,South Boston,2127,2,7,South Boston,6,6,3-05:  South Boston,0.018733599,1.26259E-05
88,89,250250612001,1283294,72450,1702,1188,I,0,250250612001,25025061200,62,D Street/West Broadway,3,South Boston,2127,2,6,South Boston,6,6,3-05:  South Boston,0.063310633,0.000148111
89,90,250250003013,80356,0,600,266,R,1,250250003013,25025000301,2,Brighton - Oak Square,8,Allston/Brighton,2135,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.01605843,8.78006E-06
90,91,250250003012,143220,0,790,309,R,1,250250003012,25025000301,2,Brighton - Oak Square,8,Allston/Brighton,2135,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.020684081,1.56493E-05
91,92,250250003022,320698,46101,1595,755,R,1,250250003022,25025000302,2,Brighton - Oak Square,8,Allston/Brighton,2135,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.033632615,4.00734E-05
92,93,250250003014,126783,0,712,390,R,1,250250003014,25025000301,2,Brighton - Oak Square,8,Allston/Brighton,2135,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.017059381,1.38525E-05
93,94,250250003021,269190,0,1547,591,R,1,250250003021,25025000302,2,Brighton - Oak Square,8,Allston/Brighton,2135,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.032131907,2.94111E-05
94,95,250250305003,20342,0,809,527,D,0,250250305003,25025030500,52,North End/Waterfront,4,Central,2113,1,3,North End,1,3,1-1B:  Beacon Hill/West End/North End,0.006720378,2.223E-06
95,96,250250817005,154446,0,641,298,R,1,250250817005,25025081700,59,Washington Park,10,Roxbury,2119,7,12,Roxbury,2,9,1-10A:  Roxbury,0.01658191,1.68686E-05
96,97,250251205003,53267,0,774,301,R,1,250251205003,25025120500,44,Hyde Square,9,Jamaica Plain,2130,6,10,Jamaica Plain,13,9,1-10A: Kenmore/Fenway/Mission Hill,0.009864658,5.81736E-06
97,98,250251401062,59365,0,506,238,R,1,250251401062,25025140106,55,Metropolitan Hill/Beech St,14,Roslindale,2131,5,18,Roslindale,5,12,2-06:  West Roxbury/Roslindale,0.010331923,6.47889E-06
98,99,250251401072,134728,0,699,298,R,1,250251401072,25025140107,40,Stoney Brook/Cleary Square,16,Hyde Park,2136,5,18,Hyde Park,18,12,2-08: Hyde Park,0.017562795,1.46981E-05
99,100,250250101042,82830,1384,2299,584,I,0,250250101042,25025010104,32,Kenmore,7,Fenway/Kenmore,2215,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.019381764,9.20142E-06
100,101,250251303001,305110,0,848,342,R,1,250251303001,25025130300,67,Bellevue Hill,15,West Roxbury,2132,6,20,West Roxbury,5,12,2-06:  West Roxbury/Roslindale,0.023830146,3.32997E-05
101,102,250251005002,187391,0,994,414,R,1,250251005002,25025100500,16,Ashmont,12,South Dorchester,2124,4,17,Dorchester,11,8,3-07:  South Dorchester,0.019473444,2.04541E-05
102,103,250251006014,139116,0,1944,787,R,1,250251006014,25025100601,24,St Marks,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.016360667,1.51856E-05
103,104,250251006013,108563,0,1218,535,R,1,250251006013,25025100601,24,St Marks,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.014908685,1.18507E-05
104,105,250251006012,148937,0,898,382,R,1,250251006012,25025100601,23,Neponset/Port Norfolk,12,South Dorchester,2122,3,16,Dorchester,11,8,3-07:  South Dorchester,0.016674068,1.62577E-05
105,106,250251006011,155969,0,1094,488,R,1,250251006011,25025100601,23,Neponset/Port Norfolk,12,South Dorchester,2122,3,16,Dorchester,11,8,3-07:  South Dorchester,0.017407104,1.70258E-05
106,107,250251007004,134519,0,856,371,R,1,250251007004,25025100700,23,Neponset/Port Norfolk,12,South Dorchester,2122,3,16,Dorchester,11,8,3-07:  South Dorchester,0.017957187,1.46825E-05
107,108,250251007001,166372,0,1050,484,R,1,250251007001,25025100700,23,Neponset/Port Norfolk,12,South Dorchester,2122,3,16,Dorchester,11,8,3-07:  South Dorchester,0.02760092,1.81597E-05
108,109,250251007005,121289,0,717,303,R,1,250251007005,25025100700,19,East Lower Mills/Cedar Grove,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.015841093,1.32378E-05
109,110,250251007002,595650,173339,1027,527,P,0,250251007002,25025100700,23,Neponset/Port Norfolk,12,South Dorchester,2122,3,16,Dorchester,11,8,3-07:  South Dorchester,0.043562812,8.39292E-05
110,111,250251010013,139166,5844,745,302,R,1,250251010013,25025101001,47,Southern Mattapan,13,Mattapan,2126,4,18,Mattapan,18,8,2-08: Hyde Park,0.018061184,1.58231E-05
111,112,250251007003,186047,0,672,290,R,1,250251007003,25025100700,19,East Lower Mills/Cedar Grove,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.021423591,2.03063E-05
112,113,250251008001,121565,0,663,272,R,1,250251008001,25025100800,16,Ashmont,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.017724388,1.32691E-05
113,114,250251008002,136910,0,929,378,R,1,250251008002,25025100800,16,Ashmont,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.021884881,1.4944E-05
114,115,250251008003,136709,0,899,412,R,1,250251008003,25025100800,16,Ashmont,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.016264825,1.49214E-05
115,116,250251008006,191322,0,1131,513,R,1,250251008006,25025100800,16,Ashmont,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.019847695,2.08819E-05
116,117,250251008005,401132,0,807,461,P,0,250251008005,25025100800,19,East Lower Mills/Cedar Grove,12,South Dorchester,2124,3,16,Dorchester,11,8,3-07:  South Dorchester,0.026932199,4.37773E-05
117,118,250250701012,84345,0,303,90,D,0,250250701012,25025070101,26,Downtown/Central/West End,4,Central,2111,2,3,Financial District/Downtown,1,3,1-1C: Back Bay/South End/Downtown,0.014465719,9.21612E-06
118,119,250250701013,95870,0,494,390,D,0,250250701013,25025070101,26,Downtown/Central/West End,4,Central,2108,1,3,Financial District/Downtown,1,3,1-1C: Back Bay/South End/Downtown,0.015134114,1.04758E-05
119,120,250250701011,438697,89007,850,529,D,0,250250701011,25025070101,26,Downtown/Central/West End,4,Central,2111,2,3,Financial District/Downtown,1,4,1-1C: Back Bay/South End/Downtown,0.037314689,5.76568E-05
120,121,250250702002,30940,0,1133,444,D,0,250250702002,25025070200,12,Chinatown/SCove/Bay Village,4,Central,2111,2,3,Chinatown,1,4,1-1C: Back Bay/South End/Downtown,0.008080655,3.38051E-06
121,122,250250702003,143808,0,2625,647,D,0,250250702003,25025070200,12,Chinatown/SCove/Bay Village,4,Central,2116,2,5,Bay Village,1,4,1-1C: Back Bay/South End/Downtown,0.019839535,1.57126E-05
122,123,250250702001,94030,0,1460,599,D,0,250250702001,25025070200,12,Chinatown/SCove/Bay Village,4,Central,2111,2,3,Chinatown,1,4,1-1C: Back Bay/South End/Downtown,0.012918126,1.02739E-05
123,124,250250703001,133432,0,1065,804,D,0,250250703001,25025070300,12,Chinatown/SCove/Bay Village,4,Central,2116,2,5,Bay Village,1,4,1-1C: Back Bay/South End/Downtown,0.020463787,1.45789E-05
124,125,250250703003,67081,0,992,707,D,0,250250703003,25025070300,64,South End - Columbus,6,South End,2116,2,5,South End,4,4,1-1C: Back Bay/South End/Downtown,0.016856423,7.32886E-06
125,126,250250703002,59760,0,733,449,D,0,250250703002,25025070300,12,Chinatown/SCove/Bay Village,4,Central,2116,2,5,Bay Village,1,4,1-1C: Back Bay/South End/Downtown,0.010602269,6.52924E-06
126,127,250250705003,75913,0,1393,803,R,1,250250705003,25025070500,65,South End - Shawmut,6,South End,2118,2,3,South End,4,4,1-1C: Back Bay/South End/Downtown,0.01221983,8.29333E-06
127,128,250250705001,96255,0,1700,1018,R,1,250250705001,25025070500,65,South End - Shawmut,6,South End,2118,2,3,South End,4,4,1-1C: Back Bay/South End/Downtown,0.013649252,1.05159E-05
128,129,250250705004,82087,0,1368,721,R,1,250250705004,25025070500,65,South End - Shawmut,6,South End,2118,2,9,South End,4,4,1-1C: Back Bay/South End/Downtown,0.013811921,8.96731E-06
129,130,250250705002,43023,0,999,524,R,1,250250705002,25025070500,65,South End - Shawmut,6,South End,2118,2,9,South End,4,4,1-1C: Back Bay/South End/Downtown,0.010665576,4.70012E-06
130,131,250250706001,65262,0,1127,667,R,1,250250706001,25025070600,64,South End - Columbus,6,South End,2116,2,4,South End,4,4,1-1C: Back Bay/South End/Downtown,0.01173725,7.13004E-06
131,132,250250706002,67270,0,1113,642,R,1,250250706002,25025070600,64,South End - Columbus,6,South End,2118,2,4,South End,4,4,1-1C: Back Bay/South End/Downtown,0.011284798,7.3491E-06
132,133,250250707002,74801,0,1200,722,R,1,250250707002,25025070700,64,South End - Columbus,6,South End,2116,2,4,South End,4,4,1-1C: Back Bay/South End/Downtown,0.01387494,8.17206E-06
133,134,250250707001,89330,0,1161,644,R,1,250250707001,25025070700,64,South End - Columbus,6,South End,2116,2,4,South End,4,4,1-1C: Back Bay/South End/Downtown,0.016852208,9.75968E-06
134,135,250250708003,67265,0,1072,612,I,0,250250708003,25025070800,64,South End - Columbus,6,South End,2118,7,4,South End,4,4,1-1C: Back Bay/South End/Downtown,0.012009654,7.34846E-06
135,136,250251403003,396268,22396,1423,732,R,1,250251403003,25025140300,40,Stoney Brook/Cleary Square,16,Hyde Park,2136,5,18,Hyde Park,18,12,2-08: Hyde Park,0.032554252,4.56733E-05
136,137,250251402023,341983,10943,987,359,R,1,250251402023,25025140202,37,Fairmount Hills,16,Hyde Park,2136,5,18,Hyde Park,18,12,2-08: Hyde Park,0.028303551,3.85037E-05
137,138,250250005031,63632,0,762,415,R,1,250250005031,25025000503,5,Commonwealth - Cleveland Cir,8,Allston/Brighton,2135,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton,0.012977168,6.95156E-06
